Tiitle,Company_name,Experience,Cities,Employment_type,Industry_type,Field1,Field2,Field3,Skills,Text,Text1
Data Entry Operator (MIS),CIEL HR Services Pvt Ltd ,0 - 1 years,"Bangalore/Bengaluru( Double Road, Shanti Nagar )",Required Data Entry Operator / MIS Executive (WORK FROM OFFICE),Financial Services,Data Entry Operator (MIS)CIEL HR Services Pvt Ltd Send me jobs like thisApply,"Full Time, Permanent","Job description

Required Data Entry Operator / MIS Executive (WORK FROM OFFICE)

Salary : 15K (Take Home)

Location : Shanthinagar (Bangalore)

Experience : Looking for Freshers

Qualification : Degree




Required MS Excel knowledge





Interested candidates send your resume to usha.ks@cielhr.com

Note: Mention Position name in Subject line



RoleData Entry / MIS
Industry TypeFinancial Services
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Any Graduate
Key Skills
ExcelVLOOKUPMIS ReportingData Entry Operation",ExcelVLOOKUPMIS ReportingData Entry Operation,Any Graduate,
Back Office Executive/data Entry Operator/mis Executives/computer Oper,Deed Consultant Services  ,0 - 3 years,"Mumbai, Thane, Navi Mumbai",,BPO / Call Centre,Back Office Executive/data Entry Operator/mis Executives/computer OperDeed Consultant Services  Send me jobs like thisApply,"Full Time, Permanent","Job description
Job description
Hiring For
Back Office Process
Accounts
Marketing
Data Entry Operators
Blended Process
For Interview Contact us

Required Candidate profile

Basic Computer Knowledge.
Knowledge of Internet Browsing.
RoleNon - Tech Support - Voice / Blended
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryVoice / Blended
Education
UG :Graduation Not Required
Key Skills
BPOEmail Supportinternational bpoComputer Operatorback officeaccountingVoice Processblended processTech SupportMS OfficeMarketingChat Processdata entry operationExcelbpo fresherinternational call centreDomestic BPOdata entry operator",BPOEmail Supportinternational bpoComputer Operatorback officeaccountingVoice Processblended processTech SupportMS OfficeMarketingChat Processdata entry operationExcelbpo fresherinternational call centreDomestic BPOdata entry operator,Graduation Not Required,
Back Office Executive/data Entry Operator/mis Executives/computer oper,Deed Consultant Services ,0 - 2 years,Pune,,BPO / Call Centre,Back Office Executive/data Entry Operator/mis Executives/computer operDeed Consultant Services Send me jobs like thisApply,"Full Time, Permanent","Job description
Hiring For
Back Office Process
Accounts
Marketing
Data Entry Operators
Blended Process
For Interview Contact us

Required Candidate profile

Basic Computer Knowledge.
Knowledge of Internet Browsing.
RoleOperations Support - Other
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations Support
Education
UG :Graduation Not Required
Key Skills
BPOEmail Supportinternational bpoComputer Operatorback officeaccountingVoice Processblended processTech SupportMarketingChat Processdata entry operationbpo fresherinternational call centreDomestic BPOdata entry operator",BPOEmail Supportinternational bpoComputer Operatorback officeaccountingVoice Processblended processTech SupportMarketingChat Processdata entry operationbpo fresherinternational call centreDomestic BPOdata entry operator,Graduation Not Required,
"E-commerce | Data Entry Operator | MIS Executive | Computer Typist
",Deed Consultant Services ,0 - 3 years,"Mumbai, Thane, Navi Mumbai",,BPO / Call Centre,"E-commerce | Data Entry Operator | MIS Executive | Computer Typist
Deed Consultant Services Send me jobs like thisApply","Full Time, Permanent","Job description
Urgently required Data Entry Operator,computer Operator
Computer / Laptop Or Android Phone Is Compulsory .
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
No Time Bound
Full /Part Time Jobs
RoleOperations Support - Other
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations Support
Education
UG :Any Graduate
PG :Any Postgraduate
Key Skills
Computer Operator
TypingstudenthrData EntryPart TimeData Entry Jobs WorkFreelancerhome vesd workStudentsData Entry Projects TypingBack OfficeSelf EmployedFresherbackendFreelancingData Entry Operation
Skills highlighted with ‘‘ are preferred keyskills",Computer Operator,Any Graduate,Any Postgraduate
Part Time/Full Time Job/Work From Home/Typing/Computer/Data Entry Work,SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,Part Time/Full Time Job/Work From Home/Typing/Computer/Data Entry WorkSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply,"Full Time, Freelance/Homebased","Job description
Urgent Hiring for Computer/Data Entry Operator
Basic Typing speed, Basic Computer Knowledge
Need laptop/Desktop or Android phone
Training and Demo will be provided by our Team
Fresher and Experience Both can Apply
No target Work
No Time Boundation
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderTypingTyping SpeedData ManagementComputer OperatingPart Time JobData ExtractionData EntryWork From Home JobHousewivesWorking CandidatesStudentsComputerData AnalysisData ProcessingData ConversionData Entry Operation",Data LoaderTypingTyping SpeedData ManagementComputer OperatingPart Time JobData ExtractionData EntryWork From Home JobHousewivesWorking CandidatesStudentsComputerData AnalysisData ProcessingData ConversionData Entry Operation,Graduation Not Required,
Urgent Requirement Computer/Data Entry Operator (Work@Home),SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,Urgent Requirement Computer/Data Entry Operator (Work@Home)SRENIX STAR PRIVATE LIMITED Send me jobs like thisApply,"Full Time, Freelance/Homebased","Job description
Any one can apply
Good knowledge of computer
Basic typing speed
Any Graduation/Diploma/Qualification
Mobile/Desktop/Laptop Is Mandatory
Training & Demo Will Be Provided By Our Side
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderTyping SpeedData ManagementComputer OperatingData ExtractionWorking PeopleWork From Home JobHousewivesPart time JobDatastageComputerData AnalysisFresherData ProcessingData ConversionRetired CandidatesData Entry Operation",Data LoaderTyping SpeedData ManagementComputer OperatingData ExtractionWorking PeopleWork From Home JobHousewivesPart time JobDatastageComputerData AnalysisFresherData ProcessingData ConversionRetired CandidatesData Entry Operation,Graduation Not Required,
Work@Home/Part Time Job/Typing Work/Data Entry/Computer Operator job,SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,Work@Home/Part Time Job/Typing Work/Data Entry/Computer Operator jobSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply,"Full Time, Freelance/Homebased","Job description
Urgent Hiring for Computer/Data Entry Operator
Basic Typing speed, Basic Computer Knowledge
Need laptop/Desktop or Android phone
Training and Demo will be provided by our Team
Fresher and Experience Both can Apply
No target Work
No Time Boundation
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderTypingTyping SpeedData ManagementComputer OperatingPart Time JobData ExtractionData EntryComputer SkillsWork From Home JobDatastageData AnalysisComputerFresherData Entry Operation",Data LoaderTypingTyping SpeedData ManagementComputer OperatingPart Time JobData ExtractionData EntryComputer SkillsWork From Home JobDatastageData AnalysisComputerFresherData Entry Operation,Graduation Not Required,
Computer Operator/Data Entry/Typing Work@Home/Part/Full Time Job,SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,Computer Operator/Data Entry/Typing Work@Home/Part/Full Time JobSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply,"Full Time, Freelance/Homebased","Job description
Urgent Hiring for Computer/Data Entry Operator
Basic Typing speed, Basic Computer Knowledge
Need laptop/Desktop or Android phone
Training and Demo will be provided by our Team
Fresher and Experience Both can Apply
No target Work
No Time Boundation
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryPowerpointPart TimeWork From Home JobHousewivesExcelStudentsDatastageData AnalysisFresherFreelancingData Entry Operation",Data LoaderTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryPowerpointPart TimeWork From Home JobHousewivesExcelStudentsDatastageData AnalysisFresherFreelancingData Entry Operation,Graduation Not Required,
"Urgent Hiring For Data Entry, Part/Full Time, Work@Home.Only Delhi NCR",SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,"Urgent Hiring For Data Entry, Part/Full Time, Work@Home.Only Delhi NCRSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply","Full Time, Freelance/Homebased","Job description
Urgent Hiring for Computer/Data Entry Operator
Basic Typing speed, Basic Computer Knowledge
Need laptop/Desktop or Android phone
Training and Demo will be provided by our Team
Fresher and Experience Both can Apply
No target Work
No Time Boundation
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderWork From HomeTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryPart TimeHousewivesworking CandidatesData AnalysisFresherFreelancingRetired CandidatesData Entry Operation",Data LoaderWork From HomeTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryPart TimeHousewivesworking CandidatesData AnalysisFresherFreelancingRetired CandidatesData Entry Operation,Graduation Not Required,
Walk-in-interview For  Computer/Data Entry Operator Work@home,SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,Walk-in-interview For  Computer/Data Entry Operator Work@homeSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply,"Part Time, Freelance/Homebased","Job description
Urgent Hiring for Computer/Data Entry Operator
Basic Typing speed, Basic Computer Knowledge
Need laptop/Desktop or Android phone
Training and Demo will be provided by our Team
Fresher and Experience Both can Apply
No target Work
No Time Boundation
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypePart Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderWork From HomeTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryHousewivesWorking CandidatesComputerData AnalysisFresherFreelancingData ProcessingData Entry Operation",Data LoaderWork From HomeTypingData ManagementComputer OperatingPart Time JobData ExtractionData EntryHousewivesWorking CandidatesComputerData AnalysisFresherFreelancingData ProcessingData Entry Operation,Graduation Not Required,
"Computer Data Entry Operator Part time job, work@Home Direct Joining",SRENIX STAR PRIVATE LIMITED ,0 - 5 years,Delhi / NCR,,Recruitment / Staffing,"Computer Data Entry Operator Part time job, work@Home Direct JoiningSRENIX STAR PRIVATE LIMITED Send me jobs like thisApply","Full Time, Freelance/Homebased","Job description
Any one can apply
Good knowledge of computer
Basic typing speed
Any Graduation/Diploma/Qualification Can Join
Freshers, Housewives and Retired Professionals Can Join
Mobile/Desktop/Laptop Is Mandatory
Training & Demo Will Be Provided By Our Side
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Freelance/Homebased
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
Data LoaderTypingTyping SpeedData ManagementComputer OperatingData ExtractionData EntryPart time jobfrehsrework from home jobDatastageData AnalysisComputerFreelancingData Entry Operation",Data LoaderTypingTyping SpeedData ManagementComputer OperatingData ExtractionData EntryPart time jobfrehsrework from home jobDatastageData AnalysisComputerFreelancingData Entry Operation,Graduation Not Required,
Data Analytics Intern,Mad Street Den,0 - 2 years,Chennai,"   Mad Street Den is looking for dynamic    Data     Analysts to join our     Analytics     team (Product function). We have built and are developing a range of exciting solutions using Computer Vision, AI, and NLP for our fashion retailers and are looking at self-driven individuals capable of delivering focused     data   -based business insights and recommendations to clients and product teams.   ",BPO / Call Centre,Data Analytics InternMad Street Den4.2(5 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description   Mad Street Den is looking for dynamic    Data     Analysts to join our     Analytics     team (Product function). We have built and are developing a range of exciting solutions using Computer Vision, AI, and NLP for our fashion retailers and are looking at self-driven individuals capable of delivering focused     data   -based business insights and recommendations to clients and product teams.      Skills we need:       Proven ability to work with large volumes of unstructured and structured     data   ; creatively and analytically to solve problems with demonstrated ability to translate business needs or requests into insightful     analytics     with strong business acumen with demonstrated experience in quantitative analysis and creativity in developing reporting solutions     Work closely with the Customer Success, Product, Engineering teams and function as an individual contributor     Experience working with clients at various levels of an organization with an ability to communicate clearly and develop relationships with business partners     Demonstrate an ability to take on a Client feedback/questions, translate that into a business problem statement, crunch     data     to solve the problem and deliver a logical solution and present this to Senior Management and/or Client using solid visualization techniques     Work closely with the Customer Success team to help retain/upsell Vue.ai products and solutions by using     data     analytics   , insight generation     data     storytelling using compelling case studies and visualizations     Experience working with disorganized     data     sources and deriving actionable insights.     Work closely with the Product team to help understand, measure the performance of products, and the value-added by Vue.ai products on the client end. Use     data     and insights to set KPIs, measure, provide feedback, help iterate, measure performance through A/B tests.      Qualifications:        Should be highly driven and be able to find order in chaos. Should be able to be work in a highly challenging, multi-disciplinary, and fast-paced environment     Excellent verbal and written communication skills     Mandatory work experience: ~    1.5 years as a     Data     Analyst     Mandatory skills: SQL, Python, BI tools like Tableau / QlikView/ PowerBI     Good to have skills: A/B Testing, Statistical Modelling, Basic know-how of     Data     Architecture      RoleBusiness Analyst,Industry TypeBPO / Call Centre,Functional AreaData Science & Analytics,Employment TypeFull Time, PermanentRole CategoryBusiness Intelligence & AnalyticsEducationUG :Any GraduatePG :Any PostgraduateKey SkillsProduct engineeringStatistical modelingInternmanagementData analyticsQlikViewIndividual ContributorAnalyticsSQLQuantitative analysis",Product engineeringStatistical modelingInternmanagementData analyticsQlikViewIndividual ContributorAnalyticsSQLQuantitative analysis,Any Graduate,Any Postgraduate
Data insight intern ,KocharTech,0 - 1 years,Gurgaon/Gurugram,,BPO / Call Centre,Data insight intern KocharTech3.3(553 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description   Accountabilities:        The candidate will be primarily working as a Data Analyst and will directly support the growth and development of the KocharTech products that our customers use every day.   Discovering new potential for existing data and producing new recommendations and solutions based on their input data.   Conduct meeting with customer and walk the customer with the data driven stories.   Building out new methods/testing procedures to improve data quality.         Knowledge and skills:     Knowledge on latest version of Power BI and/or Tableau dash-board from design and development perspective.   Understanding of emerging technologies and their impact to various sectors   Knowledge and passion for technologies, digital trends and transformational ideas   Ability to represent complex concepts in an intuitive, compelling manner   Ability to think creatively in a problem-solving environment   Excellent presentation, communication and interpersonal skills      RoleFull Stack Developer,Industry TypeBPO / Call Centre,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :B.Tech/B.E. in Any SpecializationPG :Any PostgraduateKey SkillsInterpersonal skillstableauInternProductionpower biHTMLData qualityData AnalystTechnology solutionsTesting",Interpersonal skillstableauInternProductionpower biHTMLData qualityData AnalystTechnology solutionsTesting,B.Tech/B.E. in Any Specialization,Any Postgraduate
Data Analytics,NexZenTek,0 - 2 years,Hyderabad,,IT Services & Consulting,Data AnalyticsNexZenTekSend me jobs like thisApply,"Full Time, Permanent","Job description
&Data Analytics&Data Analytics Product Engineering Technology Consulting Offshore Outsourcing Quality Assurance
RoleData Analyst
Industry TypeIT Services & Consulting
Functional AreaData Science & Analytics
Employment TypeFull Time, Permanent
Role CategoryBusiness Intelligence & Analytics
Education
UG :B.Tech/B.E. in Computers
PG :Post Graduation Not Required
Key Skills
Product engineeringManager Quality AssuranceTechnology consultingData analyticsOutsourcing",Product engineeringManager Quality AssuranceTechnology consultingData analyticsOutsourcing,B.Tech/B.E. in Computers,Post Graduation Not Required
Data Entry,placement madad,0 - 1 years,Ghaziabad,,Recruitment / Staffing,Data Entryplacement madadSend me jobs like thisApply,"Full Time, Permanent","Job description
We Need a Candidate for Data Entry Who have Min Typing Speed of 15wpm
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation",Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation,Any Graduate,Post Graduation Not Required
Data Entry Operater,placement madad,0 - 1 years,Ghaziabad,,Recruitment / Staffing,Data Entry Operaterplacement madadSend me jobs like thisApply,"Full Time, Permanent","Job description
Data Entry Operator
need computer skills
RoleData Entry / MIS
Industry TypeRecruitment / Staffing
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Any Graduate
PG :Post Graduation Not Required
Key Skills
Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation",Help DeskCustomer Servicedata analysiscustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation,Any Graduate,Post Graduation Not Required
Associate - Operations (Data entry and Management) & Emailing,COOLBOOTS MEDIA PRIVATE LIMTED ,0 - 2 years,Delhi / NCR,Key Responsibilities:,IT Services & Consulting,Associate - Operations (Data entry and Management) & EmailingCOOLBOOTS MEDIA PRIVATE LIMTED 3.7(7 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description

Key Responsibilities:




We are looking forward to hire for Associate - Operations role, where the Key Job description is:




Research contact details of other organizations from google playstore and websites

Data entry and Processing

Manage the data sets as per the given guidelines

Sending the predefined emails to all the prospect clients email ids




Requirement:





Basic Graduate with sound knowledge of search on google




Should have good understanding of email communication




Should know the basic use of excel




Job Location: This will be WorkFromHome model for now and the candidate will be required to report to Gurgaon when ever we start functioning from offic




Note: Please note that, if you want to be a ""Digital Marketer"" ""Data Analyst"" ""Social Media marketing"" - dont apply for this job, this job is for doing ops job with key objective of assisting the Business development team doing pre sales coordination with data entry and processing.







Why Work With Us :




- You will be working in a flat structure with no bureaucracy

- Ownership of the job, you make and re-make rules.

- Excellent platform to jumpstart your career.

-Last but not the least if you are really aspiring to try and apply your self for an incredible fast

paced challenging yet highly growth oriented environment - We assure you to offer the same.




RoleOperations Support - Other
Industry TypeIT Services & Consulting
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations Support
Education
UG :Any Graduate
PG :Post Graduation Not Required
Doctorate :Doctorate Not Required, Any Doctorate
Key Skills
Email SupportExcelpresales operationsBackend OperationsPresalesData ProcessingData EntryOperationsData Entry OperationEmail Process",Email SupportExcelpresales operationsBackend OperationsPresalesData ProcessingData EntryOperationsData Entry OperationEmail Process,Any Graduate,Post Graduation Not Required
Data Science Intern,Editorialist YX,0 - 2 years,Gurgaon/Gurugram,,Gems & Jewellery,Data Science InternEditorialist YXSend me jobs like thisApply,"Full Time, Permanent","Job description Responsibilities:    Work cross-functionally across different teams to understand business requirements, needs of our audience and that of our clients.     Collect, clean and analyze data from diverse streams of structured unstructured data     Extract meaningful insights from data and present it to various stakeholders     Work on an end-to-end data science lifecycle: from building proofs-of-concept to production-ready models working with engineers to deploy them to production     Build models which:     Improve the accuracy of various processes within our pipeline     Improve search ranking, relevance, and personalization     Write elegant machine learning and data analysis code in Python     Be a champion of data driven culture in the company   Requirements:    Bachelor s degree in statistics, data science, or related from Tier1 college     Experience (academic/professional) in Python, SQL, UNIX     Strong knowledge of mathematics, statistics, probability and machine learning: this is the    most important skill   we are looking for. We would prefer a candidate who can read a regression table and explain p-values (correctly!) to one who writes production-ready code in the first go     Ability to explain complex concepts in simple terms     High Energy/Startup Mindset     Excellent communication (English) and presentation skills     Willingness to learn     Excellent Team Player   Benefits:    Monthly stipend at par with the best in the Industry.     MacBook     Medical Insurance     Internet Claim Reimbursement for remote working.   RoleSoftware Development - Other,Industry TypeGems & Jewellery,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategorySoftware DevelopmentEducationUG :Any GraduatePG :Any PostgraduateKey SkillsData SciencePresentation SkillsData AnalysisE - CommerceBusiness DevelopmentMachine LearningStatisticsPythonSql",Data SciencePresentation SkillsData AnalysisE - CommerceBusiness DevelopmentMachine LearningStatisticsPythonSql,Any Graduate,Any Postgraduate
Data Entry Operator,VITAL RECORDS PRIVATE LIMITED,0 - 5 years,Mysore/Mysuru, ,Analytics / KPO / Research,Data Entry OperatorVITAL RECORDS PRIVATE LIMITEDSend me jobs like thisApply,"Full Time, Permanent","Job description

Job Description




Data Analyst / Data Entry Operator responsibilities include collecting and entering data in databases and maintaining accurate records of Historical Birth, Death, and Marriage Records. Our ideal candidate has essential data entry skills, like fast typing with an eye for detail and familiarity with spreadsheets and online forms. You will work with a data team and Data Manager. Previous experience as a Data Entry Operator or similar position will be considered an advantage.

Qualification: 10+, 12+, Any Graduates, Under Graduates, Diploma.

Fresher's and 1 to 2 Years of Experienced Candidates Can apply.

Should be Good at MS Excel and Typing Speed should have.




Job Location: Century Vital Records Pvt. Ltd Plot No 42, JCK Park, Belagola Industrial Area, KRS Road,

Mysuru / Mysore, Karnataka (State), India.

Bus Stop: Sunanda Stop, KRS Road, After JK Tyre (VikranthTyre) Factory.

Use Google Map to reach easily




Feel free to contact me




Regards,




Sharon Shelly

7026613324

hr@centuryvitalrecords.com




RoleOperations Support - Other
Industry TypeAnalytics / KPO / Research
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryOperations Support
Education
UG :Any Graduate
Key Skills
TypingExcelStenographyData EntryData Entry Operation",TypingExcelStenographyData EntryData Entry Operation,Any Graduate,
Data Steward,Clarivate Analytics (TRCPL Projects Pvt Ltd.),0 - 2 years,Hyderabad/Secunderabad,,IT Services & Consulting,Data StewardClarivate Analytics (TRCPL Projects Pvt Ltd.)3.9(103 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description      Description:      The Data Steward role is part of the Master Data team and is responsible for key data quality initiatives and maintenance activities focused on certain vital data points including Product and Customer Hierarchy maintenance. These initiatives have significant impacts on enterprise data that flows across various Order-to-Cash and CRM systems as well as the enterprise data warehouse.       Responsibilities:     Assists in creating, documenting and adhering to consistent data maintenance procedures for key data points across all strategic business units (SBUs) within Clarivate Analytics   Maintain focus on a minimum set of data points that are highly used and vital to billing, marketing, sales, financial reporting activities   Be knowledgeable about business processes and master systems of all SBUs within Clarivate Analytics without showing preference or deference to any one particular business   Work with the business to define standards and rules to ensure customer master data is compliant with defined information, policies and quality requirements.   Manage the workflow task process for new data requests, changes, and deletions and entering (create / change / delete) data   Conduct primarily online research on customer and prospect records to validate and/or enhance internal data where applicable/useful   Closely interact with business and provide master data subject matter expert input to various project teams as it relates to customer master data management and enterprise-level data governance   Identify and execute robust and continuous improvement opportunities within the data management processes in the applicable source systems   Identify missing or incorrect master data standards   Generate master data reporting such as key metrics, project trackers, and dashboards on a regular basis   Ensure the data quality within and initiate the appropriate corrective actions or applicable escalation help chains to enable success       Qualifications/Experience:     Any Graduate or Post graduate - Any Specialization; preferably Post graduate   0-2 years Data analysis/customer/product master maintenance experience   Advanced Excel skills; VBA/Macro writing experience a plus   Strong general research searching skills   Experience with data validation   Strong analytical skills, with high attention to detail and data accuracy   Strong communication skills (oral and written)   Salesforce.com, SAP Customer Master experience a plus   Ability to work independently and as part of a team   Ability to remain engaged in and focused on repetitive tasks covering the same set of data points     RoleDatabase Architect / Designer,Industry TypeIT Services & Consulting,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :Any GraduatePG :Post Graduation Not RequiredKey SkillsData analysisSAPData managementFinancial reportingBillingIntellectual propertyWorkflowContinuous improvementAnalyticsCRM",Data analysisSAPData managementFinancial reportingBillingIntellectual propertyWorkflowContinuous improvementAnalyticsCRM,Any Graduate,Post Graduation Not Required
Data Steward,Clarivate Analytics,0 - 2 years,Hyderabad/Secunderabad,,Analytics / KPO / Research,Data StewardClarivate Analytics3.9(103 Reviews)Send me jobs like thisApply,"Full Time, Permanent","Job description       The Data Steward role is part of the Master Data team and is responsible for key data quality initiatives and maintenance activities focused on certain vital data points including Product and Customer Hierarchy maintenance. These initiatives have significant impacts on enterprise data that flows across various Order-to-Cash and CRM systems as well as the enterprise data warehouse.       Responsibilities:     Assists in creating, documenting and adhering to consistent data maintenance procedures for key data points across all strategic business units (SBUs) within Clarivate Analytics   Maintain focus on a minimum set of data points that are highly used and vital to billing, marketing, sales, financial reporting activities   Be knowledgeable about business processes and master systems of all SBUs within Clarivate Analytics without showing preference or deference to any one particular business   Work with the business to define standards and rules to ensure customer master data is compliant with defined information, policies and quality requirements.   Manage the workflow task process for new data requests, changes, and deletions and entering (create / change / delete) data   Conduct primarily online research on customer and prospect records to validate and/or enhance internal data where applicable/useful   Closely interact with business and provide master data subject matter expert input to various project teams as it relates to customer master data management and enterprise-level data governance   Identify and execute robust and continuous improvement opportunities within the data management processes in the applicable source systems   Identify missing or incorrect master data standards   Generate master data reporting such as key metrics, project trackers, and dashboards on a regular basis   Ensure the data quality within and initiate the appropriate corrective actions or applicable escalation help chains to enable success       Qualifications/Experience:     Any Graduate or Post graduate - Any Specialization; preferably Post graduate   0-2 years Data analysis/customer/product master maintenance experience   Advanced Excel skills; VBA/Macro writing experience a plus   Strong general research searching skills   Experience with data validation   Strong analytical skills, with high attention to detail and data accuracy   Strong communication skills (oral and written)   Salesforce.com, SAP Customer Master experience a plus   Ability to work independently and as part of a team   Ability to remain engaged in and focused on repetitive tasks covering the same set of data points     RoleDatabase Architect / Designer,Industry TypeAnalytics / KPO / Research,Functional AreaEngineering - Software,Employment TypeFull Time, PermanentRole CategoryDBA / Data warehousingEducationUG :B.Tech/B.E. in ComputersPG :M.Tech in ComputersKey SkillsData analysisSAPData managementFinancial reportingBillingIntellectual propertyWorkflowContinuous improvementAnalyticsCRM",Data analysisSAPData managementFinancial reportingBillingIntellectual propertyWorkflowContinuous improvementAnalyticsCRM,B.Tech/B.E. in Computers,M.Tech in Computers
"Back Office Executive| Backend | data Entry | non Voice | BPO
",TXN PLACEMENT PRIVATE LIMITED  ,0 - 3 years,Pune,,BPO / Call Centre,"Back Office Executive| Backend | data Entry | non Voice | BPO
TXN PLACEMENT PRIVATE LIMITED  Send me jobs like thisApply","Full Time, Permanent","Job description
Hi Candidates.
* An Urgent Requirement For graduates and under graduates for Data Entry
* Required Age 18 to 35 Years
* Full Time
* Sunday Fix Off
* Fresher Welcome
* Easy Selection Process
RoleData Entry / MIS
Industry TypeBPO / Call Centre
Functional AreaCustomer Success, Service & Operations
Employment TypeFull Time, Permanent
Role CategoryBack Office
Education
UG :Graduation Not Required
Key Skills
BackendEmailNon Voice ProcessMISBack OfficeComputer OperatingMs WorldChatData AnalysisNon VoiceData EntryMIS Reporting",BackendEmailNon Voice ProcessMISBack OfficeComputer OperatingMs WorldChatData AnalysisNon VoiceData EntryMIS Reporting,Graduation Not Required,
